date,from_iso_code,to_iso_code,rate
2-Jan-18,AUD,GBP,0.5799
3-Jan-18,AUD,GBP,0.5747
4-Jan-18,AUD,GBP,0.5795
5-Jan-18,AUD,GBP,0.5791
8-Jan-18,AUD,GBP,0.5784
9-Jan-18,AUD,GBP,0.5787
10-Jan-18,AUD,GBP,0.5784
11-Jan-18,AUD,GBP,0.5836
12-Jan-18,AUD,GBP,0.5819
15-Jan-18,AUD,GBP,0.5782
16-Jan-18,AUD,GBP,0.5778
17-Jan-18,AUD,GBP,0.5773
18-Jan-18,AUD,GBP,0.5761
19-Jan-18,AUD,GBP,0.5762
22-Jan-18,AUD,GBP,0.5763
23-Jan-18,AUD,GBP,0.5712
24-Jan-18,AUD,GBP,0.5713
25-Jan-18,AUD,GBP,0.5663
29-Jan-18,AUD,GBP,0.5726
30-Jan-18,AUD,GBP,0.5747
31-Jan-18,AUD,GBP,0.5696
1-Feb-18,AUD,GBP,0.5668
2-Feb-18,AUD,GBP,0.5608
5-Feb-18,AUD,GBP,0.5617
6-Feb-18,AUD,GBP,0.5626
7-Feb-18,AUD,GBP,0.5644
8-Feb-18,AUD,GBP,0.5629
9-Feb-18,AUD,GBP,0.5584
12-Feb-18,AUD,GBP,0.565
13-Feb-18,AUD,GBP,0.5683
14-Feb-18,AUD,GBP,0.5669
15-Feb-18,AUD,GBP,0.5662
16-Feb-18,AUD,GBP,0.5633
19-Feb-18,AUD,GBP,0.5644
20-Feb-18,AUD,GBP,0.567
21-Feb-18,AUD,GBP,0.5616
22-Feb-18,AUD,GBP,0.5613
23-Feb-18,AUD,GBP,0.5607
26-Feb-18,AUD,GBP,0.5616
27-Feb-18,AUD,GBP,0.5622
28-Feb-18,AUD,GBP,0.5605
1-Mar-18,AUD,GBP,0.5623
2-Mar-18,AUD,GBP,0.5627
5-Mar-18,AUD,GBP,0.562
6-Mar-18,AUD,GBP,0.5617
7-Mar-18,AUD,GBP,0.5617
8-Mar-18,AUD,GBP,0.5631
9-Mar-18,AUD,GBP,0.5646
12-Mar-18,AUD,GBP,0.5677
13-Mar-18,AUD,GBP,0.5666
14-Mar-18,AUD,GBP,0.5627
15-Mar-18,AUD,GBP,0.5632
16-Mar-18,AUD,GBP,0.5592
19-Mar-18,AUD,GBP,0.5527
20-Mar-18,AUD,GBP,0.5492
21-Mar-18,AUD,GBP,0.5492
22-Mar-18,AUD,GBP,0.547
23-Mar-18,AUD,GBP,0.5463
26-Mar-18,AUD,GBP,0.5454
27-Mar-18,AUD,GBP,0.5437
28-Mar-18,AUD,GBP,0.5422
29-Mar-18,AUD,GBP,0.5444
3-Apr-18,AUD,GBP,0.5466
4-Apr-18,AUD,GBP,0.5469
5-Apr-18,AUD,GBP,0.5467
6-Apr-18,AUD,GBP,0.5486
9-Apr-18,AUD,GBP,0.5456
10-Apr-18,AUD,GBP,0.5471
11-Apr-18,AUD,GBP,0.5462
12-Apr-18,AUD,GBP,0.5466
13-Apr-18,AUD,GBP,0.5467
16-Apr-18,AUD,GBP,0.5453
17-Apr-18,AUD,GBP,0.5419
18-Apr-18,AUD,GBP,0.5432
19-Apr-18,AUD,GBP,0.5494
20-Apr-18,AUD,GBP,0.5483
23-Apr-18,AUD,GBP,0.5473
24-Apr-18,AUD,GBP,0.5456
26-Apr-18,AUD,GBP,0.5431
27-Apr-18,AUD,GBP,0.5417
30-Apr-18,AUD,GBP,0.5489
1-May-18,AUD,GBP,0.5483
2-May-18,AUD,GBP,0.5518
3-May-18,AUD,GBP,0.5532
4-May-18,AUD,GBP,0.5552
7-May-18,AUD,GBP,0.555
8-May-18,AUD,GBP,0.554
9-May-18,AUD,GBP,0.5496
10-May-18,AUD,GBP,0.5499
11-May-18,AUD,GBP,0.5574
14-May-18,AUD,GBP,0.5565
15-May-18,AUD,GBP,0.5542
16-May-18,AUD,GBP,0.5538
17-May-18,AUD,GBP,0.556
18-May-18,AUD,GBP,0.5562
21-May-18,AUD,GBP,0.5596
22-May-18,AUD,GBP,0.5651
23-May-18,AUD,GBP,0.5626
24-May-18,AUD,GBP,0.5656
25-May-18,AUD,GBP,0.566
28-May-18,AUD,GBP,0.5682
29-May-18,AUD,GBP,0.5659
30-May-18,AUD,GBP,0.5656
31-May-18,AUD,GBP,0.568
1-Jun-18,AUD,GBP,0.5681
4-Jun-18,AUD,GBP,0.5696
5-Jun-18,AUD,GBP,0.5733
6-Jun-18,AUD,GBP,0.5716
7-Jun-18,AUD,GBP,0.57
8-Jun-18,AUD,GBP,0.5668
12-Jun-18,AUD,GBP,0.5698
13-Jun-18,AUD,GBP,0.5666
14-Jun-18,AUD,GBP,0.5641
15-Jun-18,AUD,GBP,0.5639
18-Jun-18,AUD,GBP,0.5614
19-Jun-18,AUD,GBP,0.5567
20-Jun-18,AUD,GBP,0.5623
21-Jun-18,AUD,GBP,0.5597
22-Jun-18,AUD,GBP,0.5573
25-Jun-18,AUD,GBP,0.5598
26-Jun-18,AUD,GBP,0.5583
27-Jun-18,AUD,GBP,0.5583
28-Jun-18,AUD,GBP,0.5619
29-Jun-18,AUD,GBP,0.5634
2-Jul-18,AUD,GBP,0.5603
3-Jul-18,AUD,GBP,0.56
4-Jul-18,AUD,GBP,0.5606
5-Jul-18,AUD,GBP,0.5576
6-Jul-18,AUD,GBP,0.56
9-Jul-18,AUD,GBP,0.5611
10-Jul-18,AUD,GBP,0.5636
11-Jul-18,AUD,GBP,0.5586
12-Jul-18,AUD,GBP,0.5594
13-Jul-18,AUD,GBP,0.5628
16-Jul-18,AUD,GBP,0.5613
17-Jul-18,AUD,GBP,0.5609
18-Jul-18,AUD,GBP,0.5621
19-Jul-18,AUD,GBP,0.5671
20-Jul-18,AUD,GBP,0.5661
23-Jul-18,AUD,GBP,0.5651
24-Jul-18,AUD,GBP,0.5633
25-Jul-18,AUD,GBP,0.5628
26-Jul-18,AUD,GBP,0.5633
27-Jul-18,AUD,GBP,0.5637
30-Jul-18,AUD,GBP,0.564
31-Jul-18,AUD,GBP,0.5661
1-Aug-18,AUD,GBP,0.5654
2-Aug-18,AUD,GBP,0.5637
3-Aug-18,AUD,GBP,0.5659
7-Aug-18,AUD,GBP,0.5717
8-Aug-18,AUD,GBP,0.5734
9-Aug-18,AUD,GBP,0.5777
10-Aug-18,AUD,GBP,0.5722
13-Aug-18,AUD,GBP,0.5705
14-Aug-18,AUD,GBP,0.5693
15-Aug-18,AUD,GBP,0.5676
16-Aug-18,AUD,GBP,0.5716
17-Aug-18,AUD,GBP,0.5714
20-Aug-18,AUD,GBP,0.5733
21-Aug-18,AUD,GBP,0.5734
22-Aug-18,AUD,GBP,0.5698
23-Aug-18,AUD,GBP,0.5666
24-Aug-18,AUD,GBP,0.5676
27-Aug-18,AUD,GBP,0.5698
28-Aug-18,AUD,GBP,0.5693
29-Aug-18,AUD,GBP,0.5687
30-Aug-18,AUD,GBP,0.5591
31-Aug-18,AUD,GBP,0.5576
3-Sep-18,AUD,GBP,0.5569
4-Sep-18,AUD,GBP,0.5621
5-Sep-18,AUD,GBP,0.5587
6-Sep-18,AUD,GBP,0.5558
7-Sep-18,AUD,GBP,0.5533
10-Sep-18,AUD,GBP,0.5508
11-Sep-18,AUD,GBP,0.546
12-Sep-18,AUD,GBP,0.5462
13-Sep-18,AUD,GBP,0.5511
14-Sep-18,AUD,GBP,0.5492
17-Sep-18,AUD,GBP,0.5472
18-Sep-18,AUD,GBP,0.5475
19-Sep-18,AUD,GBP,0.551
20-Sep-18,AUD,GBP,0.5521
21-Sep-18,AUD,GBP,0.55
24-Sep-18,AUD,GBP,0.5555
25-Sep-18,AUD,GBP,0.5526
26-Sep-18,AUD,GBP,0.5516
27-Sep-18,AUD,GBP,0.5508
28-Sep-18,AUD,GBP,0.5519
2-Oct-18,AUD,GBP,0.5531
3-Oct-18,AUD,GBP,0.5523
4-Oct-18,AUD,GBP,0.5477
5-Oct-18,AUD,GBP,0.5432
8-Oct-18,AUD,GBP,0.5384
9-Oct-18,AUD,GBP,0.541
10-Oct-18,AUD,GBP,0.5409
11-Oct-18,AUD,GBP,0.5349
12-Oct-18,AUD,GBP,0.5381
15-Oct-18,AUD,GBP,0.5421
16-Oct-18,AUD,GBP,0.5418
17-Oct-18,AUD,GBP,0.5417
18-Oct-18,AUD,GBP,0.5444
19-Oct-18,AUD,GBP,0.546
22-Oct-18,AUD,GBP,0.5439
23-Oct-18,AUD,GBP,0.5451
24-Oct-18,AUD,GBP,0.5471
25-Oct-18,AUD,GBP,0.5491
26-Oct-18,AUD,GBP,0.5487
29-Oct-18,AUD,GBP,0.5531
30-Oct-18,AUD,GBP,0.5538
31-Oct-18,AUD,GBP,0.5575
1-Nov-18,AUD,GBP,0.555
2-Nov-18,AUD,GBP,0.5572
5-Nov-18,AUD,GBP,0.5536
6-Nov-18,AUD,GBP,0.553
7-Nov-18,AUD,GBP,0.5533
8-Nov-18,AUD,GBP,0.5543
9-Nov-18,AUD,GBP,0.5549
12-Nov-18,AUD,GBP,0.5589
13-Nov-18,AUD,GBP,0.5599
14-Nov-18,AUD,GBP,0.5558
15-Nov-18,AUD,GBP,0.5594
16-Nov-18,AUD,GBP,0.5683
19-Nov-18,AUD,GBP,0.5698
20-Nov-18,AUD,GBP,0.5658
21-Nov-18,AUD,GBP,0.5656
22-Nov-18,AUD,GBP,0.5673
23-Nov-18,AUD,GBP,0.5629
26-Nov-18,AUD,GBP,0.5657
27-Nov-18,AUD,GBP,0.5641
28-Nov-18,AUD,GBP,0.5678
29-Nov-18,AUD,GBP,0.5695
30-Nov-18,AUD,GBP,0.5725
3-Dec-18,AUD,GBP,0.5769
4-Dec-18,AUD,GBP,0.5785
5-Dec-18,AUD,GBP,0.5742
6-Dec-18,AUD,GBP,0.5677
7-Dec-18,AUD,GBP,0.5662
10-Dec-18,AUD,GBP,0.5666
11-Dec-18,AUD,GBP,0.5727
12-Dec-18,AUD,GBP,0.5768
13-Dec-18,AUD,GBP,0.5729
14-Dec-18,AUD,GBP,0.5691
17-Dec-18,AUD,GBP,0.5702
18-Dec-18,AUD,GBP,0.5694
19-Dec-18,AUD,GBP,0.5683
20-Dec-18,AUD,GBP,0.5618
21-Dec-18,AUD,GBP,0.5621
24-Dec-18,AUD,GBP,0.5574
27-Dec-18,AUD,GBP,0.5576
28-Dec-18,AUD,GBP,0.5567
31-Dec-18,AUD,GBP,0.5563
2-Jan-19,AUD,GBP,0.5512
3-Jan-19,AUD,GBP,0.5535
4-Jan-19,AUD,GBP,0.5558
7-Jan-19,AUD,GBP,0.5596
8-Jan-19,AUD,GBP,0.5588
9-Jan-19,AUD,GBP,0.5614
10-Jan-19,AUD,GBP,0.562
11-Jan-19,AUD,GBP,0.5656
14-Jan-19,AUD,GBP,0.5593
15-Jan-19,AUD,GBP,0.5591
16-Jan-19,AUD,GBP,0.5597
17-Jan-19,AUD,GBP,0.5557
18-Jan-19,AUD,GBP,0.554
21-Jan-19,AUD,GBP,0.5571
22-Jan-19,AUD,GBP,0.5541
23-Jan-19,AUD,GBP,0.551
24-Jan-19,AUD,GBP,0.5439
25-Jan-19,AUD,GBP,0.5409
29-Jan-19,AUD,GBP,0.5449
30-Jan-19,AUD,GBP,0.5497
31-Jan-19,AUD,GBP,0.5537
1-Feb-19,AUD,GBP,0.553
4-Feb-19,AUD,GBP,0.5528
5-Feb-19,AUD,GBP,0.5568
6-Feb-19,AUD,GBP,0.552
7-Feb-19,AUD,GBP,0.5489
8-Feb-19,AUD,GBP,0.5465
11-Feb-19,AUD,GBP,0.5487
12-Feb-19,AUD,GBP,0.5498
13-Feb-19,AUD,GBP,0.5529
14-Feb-19,AUD,GBP,0.5534
15-Feb-19,AUD,GBP,0.5542
18-Feb-19,AUD,GBP,0.5537
19-Feb-19,AUD,GBP,0.5514
20-Feb-19,AUD,GBP,0.5484
21-Feb-19,AUD,GBP,0.549
22-Feb-19,AUD,GBP,0.5444
25-Feb-19,AUD,GBP,0.5467
26-Feb-19,AUD,GBP,0.5452
27-Feb-19,AUD,GBP,0.5423
28-Feb-19,AUD,GBP,0.5372
1-Mar-19,AUD,GBP,0.5348
4-Mar-19,AUD,GBP,0.536
5-Mar-19,AUD,GBP,0.5377
6-Mar-19,AUD,GBP,0.5355
7-Mar-19,AUD,GBP,0.5349
8-Mar-19,AUD,GBP,0.5352
11-Mar-19,AUD,GBP,0.5427
12-Mar-19,AUD,GBP,0.5353
13-Mar-19,AUD,GBP,0.5391
14-Mar-19,AUD,GBP,0.5331
15-Mar-19,AUD,GBP,0.5347
18-Mar-19,AUD,GBP,0.5354
